file,url,depicts
anemone-1.jpg,https://findmestore.thinkr.jp/cdn/shop/files/2354c53a5dcb322113b22ed321c87c4b_1000x1000.jpg,FINDME STORE: sitting plush Anemone ver. (photo)
anemone-3-blouson.jpg,https://i.shgcdn.com/2bac220f-971e-4850-99e1-48779e5e411a/-/format/jpeg/-/preview/1200x1200/-/quality/lighter/,3rd Anniversary blouson Anemone ver. (photo)
anemone-5-anima-poster.jpg,https://i.shgcdn.com/3e2062a0-eecf-494f-871f-990503f5e18f/-/format/jpeg/-/preview/1200x1200/-/quality/lighter/,1st ONE-MAN LIVE Anima B2 poster (key visual)
anemone-6-anima-bluray.jpg,https://findmestore.thinkr.jp/cdn/shop/products/anima_Blu-ray_1024x1024@2x.jpg?v=1652237406,Anima Blu-ray jacket (illustration)
nemophila-1.jpg,https://prcdn.freetls.fastly.net/release_image/7006/18895/7006-18895-5a57fdf709920518f097cae810b438cd-1000x563.jpg,KADOKAWA 1/7 scale figure hero shot (photo with set dressing)
nemophila-2.jpg,https://findmestore.thinkr.jp/cdn/shop/files/mascot_55dac2ca-4611-452c-8ba9-2fdfe32c6cd0_1000x1000.jpg,FINDME STORE: miniature costume mascot Nemophila ver. (photo)
nemophila-4-acsta.jpg,https://i.shgcdn.com/96c8f242-87e2-4095-bfb6-e24628ea9db2/-/format/jpeg/-/preview/1200x1200/-/quality/lighter/,ヰ世界情緒展 acrylic stand Nemophila (photo)
nemophila-6-anima3kv.jpg,https://i.shgcdn.com/25851789-8f83-40e9-9376-ba983d474abe/-/format/jpeg/-/preview/1200x1200/-/quality/lighter/,Acrylic stand Anima III ver. (illustration on white)
nemophila-7-hoodtowel.jpg,https://i.shgcdn.com/d404a43e-7b44-49f1-9292-821d8bc107d1/-/format/jpeg/-/preview/1200x1200/-/quality/lighter/,Hooded towel with the Nemophila design (flat drawing)
nemophila-9-anima2-jacket.jpg,https://prcdn.freetls.fastly.net/release_image/106737/148/106737-148-428af283522c0961663ee63542e772fc-1613x2000.jpg,Anima II Blu-ray jacket (illustration)
sunflower-1.jpg,https://findmestore.thinkr.jp/cdn/shop/files/sitdoll_63623269-9d7c-4d90-b1b2-ee234eedd829_1000x1000.jpg,FINDME STORE: sitting plush Sunflower ver. (flat drawing)
sunflower-3-acsta.jpg,https://findmestore.thinkr.jp/cdn/shop/files/7C7A6705_1okb_1024x1024@2x.jpg?v=1742910416,FINDME STORE: acrylic stand Sunflower (photo)
sunflower-6-frameart.jpg,https://i.shgcdn.com/29e1170a-b7a8-4e77-ae10-a7376367d204/-/format/jpeg/-/preview/1200x1200/-/quality/lighter/,Three-layer acrylic frame art (photo of illustration)
sunflower-8-profile-kv.jpg,https://kamitsubaki.jp/wp-content/uploads/2020/09/221b6b4b1d9a1b1fb454b25cc05e2b1e-scaled.jpg,KAMITSUBAKI artist page profile visual (illustration with scenery)
sunflower-9-genshiroku.jpg,https://assets.st-note.com/production/uploads/images/254764045/rectangle_large_type_2_23ca25cfe529da06369c006938778dbd.jpeg?width=1280,幻視録 wallpaper as reposted in a fan's note article (illustration)
